172.20.0.1 - - [02/Oct/2024:16:48:31 +0000] "GET /storage/assets/logo_header.png HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:33 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:43 +0000] "GET / HTTP/1.1" 200 7297 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:10 +0000] "GET / HTTP/1.1" 200 7337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:11 +0000] "GET /vendor/jquery-3.6.0.min.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:11 +0000] "GET /fontawesome/css/all.min.css HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:12 +0000] "GET /bootstrap/bootstrap.min.css HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:13 +0000] "GET /js/fp.min.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:13 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:15 +0000] "GET /css/style.css HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:17 +0000] "GET /vendor/chart.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:18 +0000] "GET /storage/assets/logo_header.png HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:18 +0000] "GET /storage/assets/logo_footer.png HTTP/1.1" 404 6616 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:19 +0000] "GET /js/fp.min.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:20 +0000] "GET /storage/assets/logo_footer.png HTTP/1.1" 404 6616 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:20 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6622 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:49:23 +0000] "GET /storage/assets/web_icon.png HTTP/1.1" 404 6616 "http://muti.security:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:53:04 +0000] "GET / HTTP/1.1" 502 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:53:28 +0000] "GET / HTTP/1.1" 502 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:53:52 +0000] "GET / HTTP/1.1" 200 7297 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
